"2019-08-24 04:47:20,242 - hetero_ne_arbiter.py[line:93] - INFO: batch: 5"
"2019-08-24 04:47:30,778 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:47:31,282 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:47:31,464 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:47:31,465 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:47:31,487 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:47:31,753 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:47:31,855 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.185700667065613"
"2019-08-24 04:47:31,855 - hetero_ne_arbiter.py[line:93] - INFO: batch: 6"
"2019-08-24 04:47:41,897 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:47:42,802 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:47:42,920 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:47:42,922 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:47:42,933 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:47:42,945 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:47:43,247 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 2.218367847882111"
"2019-08-24 04:47:43,247 - hetero_ne_arbiter.py[line:93] - INFO: batch: 7"
"2019-08-24 04:47:54,328 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:47:55,132 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:47:55,367 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:47:55,369 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:47:55,382 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:47:55,403 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:47:55,705 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 1.4776773647694164"
"2019-08-24 04:47:55,705 - hetero_ne_arbiter.py[line:93] - INFO: batch: 8"
"2019-08-24 04:48:05,875 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:48:06,578 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:48:06,820 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
"2019-08-24 04:48:06,821 - hetero_ne_arbiter.py[line:127] - INFO: guest gradients number: 256"
"2019-08-24 04:48:06,841 - hetero_ne_arbiter.py[line:138] - INFO: Remote host_optim_gradient to Host"
"2019-08-24 04:48:06,863 - hetero_ne_arbiter.py[line:149] - INFO: Remote guest_optim_gradient to Guest"
"2019-08-24 04:48:07,165 - hetero_ne_arbiter.py[line:164] - INFO: Get loss from guest: 1.393846285897455"
"2019-08-24 04:48:07,165 - hetero_ne_arbiter.py[line:93] - INFO: batch: 9"
"2019-08-24 04:48:17,637 - hetero_ne_arbiter.py[line:101] - INFO: Get host_gradient from GUEST"
"2019-08-24 04:48:18,341 - hetero_ne_arbiter.py[line:108] - INFO: Get guest_gradient from GUEST"
"2019-08-24 04:48:18,494 - hetero_ne_arbiter.py[line:126] - INFO: host gradients number: 256"
